,date,tital,user,dislike,like,rating,page_index
67,posted on 24 Mar 2020,System Engineer for 1.7 years in Japan - Hiroshima, Anonymous · Current Employee · R&D Division    ,Dislikes It's a pretty much diverse company and depth of work varies from client to client. Strict client have less freedom while lose client gives you more freedom. But in particular I think the assets management system and value usage technique should be improved in TCS. Overall it's a great company with a good work-life balance. ,"Likes It not more about the company I work for, but its all about the segment or divisions that I work for, which makes me to like the company directly or indirectly. As we work with a Japanese team, we can imbibe more of perfections and methods to solve a particular problem. Problems are pretty much every where & everyone fails at one oranother, but it all matters is how we react,respond and recover it. I have learned this more in standards of concept, techniques both in product level and management level. We have a fantastic working environment, if some one really puts learning for perfection as a priority. 
Work life balance: it's very simple hard work for 3 out of 5 days in a week and enjoy in your weekends. Hardwork here means literally hardwork. ...Read More",4.0,17
68,posted on 31 Jul 2020,Software Engineer  in Kolkata, Anonymous · Software Development Division    ,Dislikes I would request Tcs pls provide a laptop to everyone,Likes Despite covid-19 pandemic still job is secure.So TCS is the best MNC company in the world.I am proude to be working with TCS,5.0,17
69,posted on 29 Jul 2020,Business Head -greater Mumbai for 3.1 years in Mumbai, Anonymous · Current Employee · Trade Finance Division    ,Dislikes Naothing,Likes Kindly help me with the proceduresto apply a transfer from mumbai location to my home town kerala location tcs either to trivandrum or kochin tcs due to covid pandemic,5.0,18
70,posted on 23 Mar 2018,"Business Analyst for 7.4 years in Amsterdam, Netherlands", Megha Gupta · Former Employee · IT Division    ,"Dislikes - No defined career path for Business Analyst
- No scope in consulting career
- Poor middle management creates a lot of hierarchy and titles of very mediocre standards
- Training modules in company do not focus on practicality and are extremely lengthy and time consuming
- Promotions and appraisal completely depends on how your relationship was with your management
- Onsite travel opportunity is also quite a pain and RMG does not really help much and would push you into any project to meet targets
- Complete lack of involvement from top most management with employees
- Work environment completely depends on the management style and frustration of employees due above reasons.
- Can require very good political instincts to survive for long term...Read More","Likes Working in India within TCS , might offer some benefits in terms of policies like (sabbatical, maternity leaves etc). The work life balance really depends on the project in India, your onsite location and your manager.

Is good if you want to settle and job security is the highest prio.",2.0,18
71,posted on 02 Aug 2020,It Analyst for 8.5 years in Chennai, Anonymous · Information Technology Division    ,Dislikes I only dislike Management politics. TCS = GOVT company & TCS Managers = Politicians,Likes Work life balance,1.0,18
72,posted on 31 Jul 2020,It Analyst  in Bangalore, Anonymous · BFS Division    ,"Dislikes Compensation, work culture , appraisals nothing is satisfactory",Likes not supporting at all. Have been applying leaves as they could not provide device to WFH,1.0,18
73,posted on 03 Sep 2018,BPS Information Process Enabler (BPO1.1)  in Kolkata, Anonymous · Finance  Division    ,Dislikes There is really nothing to dislike bout Tcs but the management in the bpo sector needs immediate attention as I feel that the companies money is being wasted as I have observed while being there that most of the bpo 4 and above employees have absolutely no work and they should be allocated with more and more work as they are so highly paid between a scale of 50 k to 1 lakh. I have seen such employees not even touching there systems the entire day or may be a week and there wore employees who have come here for onshore transition but for some reason or the other they wore not able to do the transition and have spent more than a year doing nothing and getting a very handsome pay. Please give work to these employees as their behavior is affecting the work all round the floor who are giving there entire effort day and night and getting 7 k to 13 k. ...Read More,Likes Most horrible place to work.. The HR is a hiring ppl from all the slum areas as most of them are having gutka inside the floor and working on each others work item... Exams of TL s are given by the bpo 1 employees which helps them in gaining an easy access to ... Appraisal is done on the basis of liking of the employees and not by any 1 s performance.. The goal sheet fill up is a very long process and a big waste of time which I feel should be changed with immediate affect as most of the tl s don't even check what is filled by their team members. The only thing I liked about TV was salary is always on time.. Though it is really and extremely less compared to the distance and time that each employees give to reach that place....Read More,1.0,18
74,posted on 30 Jul 2020,Senior Process Associate  in Bengaluru, Anonymous · Investment banking Division    ,Dislikes Work pressure,Likes Job security is good and work culture and there is opportunity for learning and development.,5.0,18
75,posted on 25 Jul 2020,System Software Engineer  in Mumbai, Anonymous · Information Technology Division    ,Dislikes Only one thing is salary hike otherwise everything was perfect,"Likes Best company to work with.
Working with tcs was a superb experience.
Job security, lenient policies",5.0,18
76,posted on 27 Mar 2020,"Assistant Consultant for 12 years in Chennai, Tamil Nadu", Arvind Kumar · Former Employee · Computer Consultancy Division    ,"Dislikes Unfair payroll policy.
Too much of favoritism and nepotism in appraisals, onsite opportunities and promotions.
Performance is not considered for anything.
HR does not take corrective action when injustice is done to an associate by his lead or manager.
In many verticals unfit people are given higher roles and they make life of really talented people miserable.
RMG team behavior is very rude and unprofessional to associates.
Salary very less compared to other companies.
No respect for senior associates aspiring for a technical career path. ...Read More",Likes Nothing other than onsite opportunities. That is again NOT based on performance or years of experience. Too much of favoritism and nepotism is there in that. ,1.0,18
